Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median.params
Scaling attack: train with labels 7 -> 1 on Byzantine clients; attack success rate = fraction of test images with true label 7 that the global model predicts as 1 (FLTrust).
[median - scaling_attack] Iteration 1899. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1909. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1919. Test_acc 0.1003  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1929. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1939. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1949. Test_acc 0.0999  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1959. Test_acc 0.1008  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1969. Test_acc 0.0976  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1979. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1989. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1999. Test_acc 0.0999  Attack_succ_rate 0.0000 (src=7 tgt=1)
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median__iter_002000.params
[median - scaling_attack] Iteration 2009. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2019. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2029. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2039. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2049. Test_acc 0.0975  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 2059. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2069. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2079. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2089. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2099. Test_acc 0.0972  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2109. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2119. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2129. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2139. Test_acc 0.0998  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2149. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2159. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2169. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2179. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2189. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2199. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2209. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2219. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2229. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2239. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2249. Test_acc 0.1000  Attack_succ_rate 1.0000 (src=7 tgt=1)
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median__iter_002250.params
[median - scaling_attack] Iteration 2259. Test_acc 0.0921  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2269. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2279. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2289. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2299. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 2309. Test_acc 0.1000  Attack_succ_rate 0.0000 (src=7 tgt=1)
